id,date,name,type,description,elapsed_time,distance,commute,gear,filename
986749737,2017-05-14 20:00:09,Afternoon Run,Run,"Day 1 of 7 mile week
",425,1609.34,false,,
1012035225,2017-05-29 05:00:32,Week 1,Run,"40 miles during the week of 5/22.
",15680,64373.8,false,,
1012116728,2017-05-29 23:29:33,Evening Run,Run,Oops. Probably too fast of a run. Also had a huge dump right after. 75 and sunny was part of why it was so fast tho,2527,11265.4,false,,
1013591158,2017-05-30 22:37:10,Evening Run,Run,"Damn Minnesota has some hills - 55 cloudy and windy, actually ran w a shirt",2300,9656.06,false,,
1015263522,2017-05-31 23:50:21,Call it 9 @ Battle Creek,Run,"Suuuuuper hilly. Still felt like I was going pretty hard so it probably was just sub 7 pace all things considered. Great weather, great trails on a bike. Would love to get back to mountain biking some time. ",3736,14484.1,false,,
1016923146,2017-06-02 00:54:40,7 miles lmao kids,Run,Felt way better than I thought I would after crazy hills yesterday. Around mile 5 some kids tried to race me so that was about a 5:55. Still wasn't too tough though.,2644,11265.4,false,,
1018375770,2017-06-03 04:34:37,"7 miles, kinda hot and felt sore",Run,"Ran a while ago actually, felt pretty sore. Milk mile tomorrow so we'll see how that goes.",2729,11265.4,false,,
1019903507,2017-06-04 00:27:12,Milk mile and other stuff,Run,"2 mi wu, 1 mi cd, milk mile in 6:20. Honestly way better than I expected, finished ad threw up immediately after crossing the line and felt better instantly. Got kicked down by a New Trier bub though...",1716,6437.38,false,,
1021551732,2017-06-04 20:13:03,8 miles v hot,Run,"With sauce and Chris Brenk, was about 90 degrees. Also my back is hurting like crazy, some sort of muscle soreness. ",3319,12874.8,false,,
1023281746,2017-06-06 03:43:26,7:47 injury,Run,"Back is doing somewhat better, but my left hip is ridiculously tight. I can walk without falling over now but running is really painful and slow. Don't have any work obligations the next two days so my only plans are to keep my leg iced, run 1 mile and head to the doc tomorrow. At least this isn't during height mileage. ",467,1609.34,false,,
1024703159,2017-06-07 04:30:10,1 mile 7:33 ,Run,"Almost forgot to post. Didn't do too much today, pretty bummed I wasn't able to do a long run or something. Hip is improving, just not fast enough. Maybe I can work on my glamour muscles in the mean time. ",453,1609.34,false,,
1026022118,2017-06-07 23:30:23,"1 mile, about 50 percent better",Run,Actually took the slightest bit of aerobic effort today. Hip is notably better but definitely still needs to improve more. Should be fully better by Saturday or Sunday. Also did an hour bike ride this morning.,393,1609.34,false,,
1027722242,2017-06-09 04:12:55,1 7:51,Run,"Hip actually felt way better walking around today. Pretty damn frustrating, feel like a caged dog. Can't wait to get back on the roads soon.",471,1609.34,false,,
1028763655,2017-06-09 20:15:52,Afternoon Ride,Ride,"Somewhere between 26 and 27 miles. Hip felt way better, back hurting just a little bit but at least that's symmetrical pain. Going to run later when my quads stop killing me ",5846,42647.6,false,,
1029009217,2017-06-10 03:50:21,Last day of 1,Run,"Probably not the greatest idea, but ramping it up a little felt easier on my hip. Quads are pretty sore, but hip is at about 80%. Plan to mix up biking and running tomorrow.",366,1609.34,false,,
1030226577,2017-06-10 18:07:43,Afternoon Ride,Ride,"90 degrees and sunny, also weirdly windy. ",2563,19312.1,false,,
1030698931,2017-06-11 04:04:21,Night Run,Run,"Hip really started to tighten up a little after a mile. Going into the trainer in a couple days, can't wait for that",638,2414.02,false,,
1032606032,2017-06-12 03:46:41,1 7:06,Run,"Still super tight. Can't life my knees up without causing a lot of pain. Going to see the trainer on Tuesday, if anyone can fix my hip this trainer is probably it",426,1609.34,false,,
1033979690,2017-06-13 03:19:19,1 6:43,Run,"Felt better, still not improving nearly fast enough.",403,1609.34,false,,
1035656517,2017-06-14 04:37:51,1 6:39,Run,"Felt okay, also hammered a few miles on the bike so my quads are pretty fried. Trainer is in Thursday. I'm getting the feeling that this is fate's way of making me take time off whether I like it or not.",399,1609.34,false,,
1037186553,2017-06-15 02:07:06,1 6:11,Run,"Pain level has pretty much stagnated. Going to the trainer soon. Whether I'm going 9 minus pace or 5 minute pace, my leg hurts the same, only difference is the aerobic value I get from what little running I am doing.",371,1609.34,false,,
1037935062,2017-06-15 13:34:29,Morning Ride,Ride,The total time included stops. Did 7 with my dad at about 14-15mph. Then did about 12 alone at about 17mph and then did 3 with my mom at about 10-11mph. Not sure I'm even counting that last part lol.,6300,35405.6,false,,
1038239000,2017-06-15 18:19:01,Afternoon Run,Run,"Hip felt way better, back felt somewhat worse. Also did 2 hours of yardwork in 85 degrees and 60% humidity. Ready to spend the rest of the day indoors.",352,1609.34,false,,
1041866055,2017-06-17 04:16:27,1 6:11,Run,"",371,1609.34,false,,
1041867068,2017-06-18 04:17:17,1 5:47,Run,"Went to the PT place today, already feeling somewhat better and have a number of exercises to do. In four years of running every day I've honestly never wanted to run a real distance so much. ",347,1609.34,false,,
1044395829,2017-06-19 03:00:16,4 25:53 we back,Run,"Finally back at it. Felt decent, still painful but not quite bad enough to keep me from running. Asian kids wearing dank tees is now a thing.",1553,0.0,false,,
