id,date,name,type,description,elapsed_time,distance,commute,gear,filename
775759724,2016-11-13 19:25:28,Canal 7 miler,Run,"Comfortable for first 4, taylor got rolling on final 3. ",2763,11270.4,false,,activities/858354516.fit.gz
775759732,2016-11-14 21:07:42,5 mile military loop,Run,"Comfortable for first 2, worked the hill from WGCC up to St Mary's.",2787,8049.7,false,,activities/858354525.fit.gz
776737214,2016-11-16 00:50:00,Tuesday night mile repeats,Run,"1.25 warm up, 2x 1 mile, 400m cutdown, .5 cool down. 5:18, 5:16, 72. Full recovery.",3600,6437.38,false,,
777677348,2016-11-16 21:48:31,Afternoon Run,Run,"3 mile easy run on back field at jamestown. Strides, but twisted ankle after 4.",1174,4831.7,false,,activities/860577463.fit.gz
778607417,2016-11-17 20:30:00,Afternoon practice,Run,"2 miles out 27th and back. 7 minute pace. 2 miles on track, fartleck switch off between 46 seconds and 39 seconds. 11: 26. 5:36, 5:50. 1 mile easy.",122400,8046.72,false,,
780176460,2016-11-19 14:00:49,JBLF 5k,Run,"Hard, didn't feel great. Didn't sleep much this week to homework, and very hilly course.",2160,9656.06,false,,
781349926,2016-11-20 18:46:04,8 mile canal long run,Run,Felt okay. Very windy. Had to go.,4168,12877.5,false,,activities/864950226.fit.gz
782146460,2016-11-21 20:56:45,Afternoon Run,Run,"Practice 4. Comfortable, mile pickup in middle, back easy.",2064,6837.6,false,,activities/865908652.fit.gz
784828712,2016-11-22 21:00:28,Afternoon Run,Run,Hill repeats on wood chips and leaves. Stupid workout.,3786,10228.2,false,,activities/868943711.fit.gz
784828715,2016-11-23 19:57:47,Afternoon Run,Run,"Easy run with smell. Quad very sore, body a little tired.",1371,4827.0,false,,activities/868943718.fit.gz
784828721,2016-11-24 13:02:04,Morning Run,Run,"Turkey trot 5k. Quad still a little sore, but not as bad as yesterday.",1071,5019.5,false,,activities/868943729.fit.gz
784830070,2016-11-24 12:30:00,Morning,Run,Warm up and cool down.,3600,3218.69,false,,
787466906,2016-11-26 20:50:35,To and from canal 8 miler,Run,Felt pretty crappy overall. I've been eating like shit so I'm going to clean that up.,3733,12882.0,false,,activities/871938690.fit.gz
787466912,2016-11-27 19:30:10,Afternoon Run,Run,,756,2818.9,false,,activities/871938709.fit.gz
787466917,2016-11-27 19:44:44,Afternoon Run,Run,,353,862.3,false,,activities/871938720.fit.gz
