date,comment
2017-12-18 02:08:03,Prim-o
2017-12-18 02:08:31,Miss you b
2017-12-18 02:38:35,Ty turtle! For the kudos
2017-12-18 04:07:51,Thank you brennan. Miss u dude.
2017-12-19 01:41:50,Why didn't I do this...
2017-12-23 02:19:35,yo!
2017-12-23 21:31:32,Turtle's own grindfest lol
2017-12-28 04:29:43,Bub
2017-12-29 18:11:37,Woat va
2017-12-29 18:13:29,Yo!
2017-12-30 15:50:52,Call me bill now huh
2018-01-01 22:59:12,Day by day...
2018-01-13 17:49:40,Stay healthy bro
2018-01-17 23:51:12,Welcome to the south my dude
2018-01-26 15:20:12,Thanks dude
2018-01-28 00:06:37,"Just some time down, you’ll be back"
2018-01-28 00:08:06,You fucker. I’ll see you in the at tostrud....
2018-01-31 17:05:02,Are you for real?
2018-02-04 05:27:44,Skol!
2018-02-04 05:28:06,Skol!
2018-02-04 06:22:00,Fuckkkk
2018-02-04 06:22:12,What is alex
2018-02-04 06:22:19,Shonsfcjd
2018-02-04 06:23:22,Is there a video camera in the hall
2018-02-04 06:23:32,But wtf am I at rn
2018-02-04 07:04:18,Rhia has a time with walked
2018-02-10 23:51:36,Damn
2018-02-13 18:01:51,Didn’t you workout with pt as well?
2018-02-16 02:11:24,Was he looking for a soul to steal?
2018-02-16 05:49:44,https://www.youtube.com/watch?v=DNSljt0i3TI
2018-02-21 05:08:53,YEET
2018-03-09 03:36:47,Corn
2018-03-09 17:22:33,I just felt like running
2018-03-11 23:11:57,"Oh yeah, I forgot that Logan doesn’t run. Well, he runs to the fridge"
2018-03-12 01:42:14,She’s got it going on
2018-03-16 21:49:11,"Not generally a big fan of machines. They work the muscles, but do not work the stability side of weight lifting, which is as if not more important than the strength benefits. Free weights."
2018-03-21 02:30:33,Cuck?
2018-03-23 15:11:42,6. Up your mileage and buckle down
2018-03-26 13:27:25,Holy
2018-04-02 03:31:52,Phantom injuries are real bub. Don’t let your training derail because you get inside your own head
2018-04-02 03:32:47,"Same! I shat before, 3 times during, and after my run due to a big Easter brunch!"
2018-04-06 00:32:23,Fuck off billy. Don't talk shit on people who didn't instigate anything.
2018-04-13 02:52:18,way to shrek him bro
2018-04-17 18:08:22,Hb
2018-04-27 13:27:23,"Tony stark is my favorite character, how does he do in the movie?"
2018-05-31 20:30:21,Who is this Jackson s Simon? Is this the real name of the infamous milk man?
2018-06-01 02:12:57,"Yeah turtle, look at me: I AM THE CAPITAN NOW"
2018-06-01 02:15:03,I recommend you up your mileage
2018-06-02 14:04:33,"Ur a funny guy, Andrew plumb. But to quote Rodney dangerfield, “when are you due back in boys town?”"
2018-06-04 21:29:54,There and back again: a hobbits tale 
2018-06-09 22:45:19,Drinking outta cups I see
2018-06-10 18:59:53,"So uh, twisted tea mile?"
2018-06-12 14:03:43,Morning dew is an excellent song by the dead. I highly recommend the 5/8/77 and 4/27/77 versions.
2018-06-15 23:51:20,Cumpass?
2018-06-16 03:31:52,"Dias, not Diaz "
2018-06-20 21:13:16,"No, 7,000. For this run we drove to a town 1000ft higher than our house for the start, it is at the base of the mountain."
2018-06-22 02:01:49,*Helm’s Deep
2018-06-23 13:43:09,^
2018-06-24 15:38:02,Good work captain!
2018-06-27 03:18:50,"So uh, heavy metal?"
2018-06-30 02:40:28,+1
2018-06-30 18:09:15,Nice run dude!
2018-07-01 04:53:47,He better be doing 5 weeks of 50 miles
2018-07-01 18:23:11,Goddamnit plumber
2018-07-02 02:19:07,Jackson hasselhoff I guess!
2018-07-21 01:57:04,What was the Edmund Fitzgerald and what happened to it?
2018-08-04 03:46:32,See u Thursday bub!
2018-08-04 16:07:00,Did you consult Iron Maiden before writing about all this heavy metal?
2018-08-08 02:47:46,"Ran in the iso in starting in June. Good shoe, I like them. "
2018-08-08 02:48:15,Feel kinda like the kinvara but with some more cushion. 
2018-08-13 17:27:02,No u
2018-08-14 01:42:33,Torry’s and Gray’s
2018-08-18 20:36:25,Beast!
2018-08-19 01:36:08,Beast!
2018-08-19 14:59:20,BEAST!!!!!
2018-08-20 17:24:10,Yo are you near dc? Wanna meet up for a run? 
2018-08-20 17:25:43,"Dang. Well, see you soon then haha!"
2018-08-21 14:33:46,Beast!
2018-08-21 20:39:26,CUCK!!!
2018-08-22 19:21:02,Lion
2018-08-23 16:41:20,I wear saucony xc flats. They do the trick and were stupid cheap.
2018-08-24 16:52:30,No showers til after pre camp
2018-08-26 21:22:55,New route?
2018-08-28 19:49:11,Np
2018-08-28 19:52:44,Ribbit 
2018-08-30 22:18:17,Man
2018-08-31 01:28:29,Np
2018-08-31 13:24:41,Team legend party man!
2018-09-01 17:20:17,"69, dudes!!"
2018-09-01 18:17:11,Long run day!
2018-09-01 18:45:00,🔴🐶
2018-09-02 15:47:29,Rattle
2018-09-02 15:48:06,Time to up your mileage!!
2018-09-03 23:58:59,U coming alumni?
2018-09-04 15:39:57,Dog
2018-09-07 16:36:44,Ribbit last night?
2018-09-07 16:45:14,Underage
2018-09-08 20:13:14,Trust your fitness man. You’ll get there
2018-09-11 13:08:48,Doubling?
2018-09-13 01:54:17,I ran 1 mile
2018-09-15 23:55:21,Heat = poor man’s altitude
2018-09-16 02:20:31,"“Nah, only losers warm up”- team legend and national champ grant wintheiser"
2018-09-17 02:07:04,4x course next week?
2018-09-19 01:01:58,"Can’t train for the first 20 miles, so just do the last 6"
2018-09-21 01:00:38,Beast!
2018-09-26 01:57:29,Np gj 
2018-09-29 18:10:15,That’s a winter route
2018-09-29 18:12:05,Yeet 
2018-10-05 02:29:01,Hot damn!
2018-10-11 02:14:33,Lol
2018-10-20 03:36:10,Well what
2018-10-26 01:00:03,are you racing saturday?
2018-11-09 17:48:43,Wut
