name,brand,model
Summer Blue,Nike,PEGASUS 34
White,Nike,Lunaracer 4
Arctic Lightning,Nike,Peagasus 34
Arctic Lightning Round Dos,Nike,PEGASUS 34
Royal Blue,Nike,PEGASUS 34
Lightning,Nike,Forever XC
"",Nike,Morocco Pegs
Mediterranean Azure,Nike,PEGASUS 34
Swamp Green,Nike,Zoom Pegasus 34
Go Illini,Nike,Zoom Streak
Cloudy Skies,Nike,Zoom Pegasus 34
Jade Sea Stocked with Salmon,Nike,Zoom Pegasus 35
Bumblebee,Nike,Zoom Pegasus 35
Pink Grapefruit,Nike,Zoom Pegasus 35
Turbo Dress Pegs,Nike,ZOOM PEGASUS 35 TURBO
Tropical Mango,Nike,Zoom Pegasus 35
