date,comment
2017-07-04 16:22:15,wednesday on tuesday.hmm...
2017-07-14 13:27:21,Mowgli is run?
2017-07-14 13:28:58,this is pleasing to the milk man
2017-07-14 13:33:49,Milkman see. Milkman do mile tonight. Stay tune
2017-07-20 23:41:14,Welcome to the club. Watches dull the mind!
2017-08-02 17:52:47,What are ye riding now? 
2017-08-07 17:39:27,"its a draw, for now! "
2017-08-19 15:19:34,Yes
2017-08-19 16:39:29,No everyone does epo so its okay! 
2017-08-24 15:48:14,That's what you would say if you won! 
2017-09-21 19:40:09,"This was supposed to he yesterday, oops"
2017-09-24 00:21:39,🤗🤗🤗🤗
2017-10-13 03:50:52,Y
2017-11-21 04:34:15,Tempo?
2017-11-23 15:05:24," Good thing it wasn't a 7 mike run, now that'd be crazy"
2017-11-26 00:16:00,"What the hell is that hr, are you pro now???"
2017-12-02 02:50:11,Thanks
2017-12-02 05:18:05,fix plzzzzz leaderboard is fucked
2017-12-12 02:42:18,NEIN NEIN NEIN NEIN
2017-12-18 01:22:13,"Beat me by .1, ill prolly just go die"
2017-12-19 02:02:11,Rip
2017-12-21 05:25:48,every ran on an indoor track cuck
2018-04-05 15:58:16,"Bill, I'll be excited to see your 3:45 1500!"
2018-04-06 00:42:23,It was a meme duder
2018-04-09 03:26:49,Wow new world record!!!!!
2018-04-21 01:05:00,"Abortion is wrong, immoral, unethical, wicked, evil, foul, unprincipled, unscrupulous, dishonorable, dishonest, unconscionable, iniquitous, disreputable, corrupt, depraved, vile, villainous, nefarious, base, miscreant; sinful, godless, impure, unchaste,unvirtuous, shameless, degenerate,debased, debauched, dissolute,reprobate, lewd, obscene, perverse."
2018-05-29 12:14:41,How???
2018-05-31 20:09:41,Bub who goes to neuqua valley in illinois. 
2018-06-01 00:25:18,The passion and love of Jesus Christ
2018-06-12 14:49:57,I always love to kick my day off with some mtn dew!!!
2018-06-13 14:16:55,God? On the corner of first in amistad?
2018-06-14 14:04:47,Keep the chickens in the family!!
2018-06-16 13:10:00,Malek*
2018-06-16 17:16:27,why??
2018-06-16 17:17:01,https://media.giphy.com/media/Mir5fnHxvXrTa/giphy-facebook_s.jpg
2018-06-22 16:38:05,Did the groundhog see its own shadow? 
2018-06-25 13:08:35,Are you sure its worth the 5 hour drive??
2018-07-01 23:09:47,yes its hard being as good of a swimmer as i am. Just comes naturally i guess
2018-07-02 20:08:37,Staring down a week or starting a down week? 🤔🤔🤔🤔🤔🤔🤔
2018-07-03 17:14:38,So ur feet are broken or...?
2018-07-04 16:28:42,Kept reading this as pathetic lol
2018-07-05 18:01:15,Good luck!
2018-07-06 16:17:41,Weighted lunges are the greatest strength training known to man
2018-07-11 23:11:45,Whats five minutes?
2018-07-12 18:32:51,Maximum overdrive?
2018-07-13 17:00:39,hey its ok just say
2018-07-15 19:12:48,Is that a PR?
2018-07-16 14:58:03,I really hope you didnt do what i think you did
2018-07-16 15:56:52,well what i think i thought you did was 6.5 miles out and back on nw roads and then the same route again
2018-07-17 00:08:44,🥋
2018-07-22 18:39:30,same
2018-07-23 14:59:35,Cucked again!
2018-08-11 16:05:38,"Theres nothing wrong with doubling multiple times a week, its crazy not to above 75 miles."
2018-08-11 21:30:11,🤘🤘🤘
2018-08-13 19:58:35,35s?
2018-08-13 20:00:35,"how, they came out in may¿"
2018-08-13 20:05:27,I usually get 1000+ on my pegs
2018-08-16 21:53:37,If that isnt an axe I dont know what is
2018-08-17 18:22:09,Thats how I sleep except every night
2018-08-19 21:53:32,Look like the new pegs
2018-08-19 23:16:41,Peg 35s
2018-08-22 04:47:10,😢
2018-08-23 23:28:16,Have u tried syncing to computer
2018-08-25 00:00:12,EPIC COURSE RECORD!!!
2018-08-26 01:43:33,Try some R & R - rest and relaxation!
2018-09-07 02:42:45," Beautiful Reuben, picture!"
2018-09-08 21:41:00,Alyson Simon crosswalk to lamp post 
2018-09-18 00:43:10,no
2018-09-27 03:39:36,jesus christ
2018-09-28 16:48:10,Practice is at 3:30
2018-10-02 02:38:23,well...
2018-10-02 05:36:48,so this is heartbreak
2018-10-04 16:53:40,Make A Great Omelette
2018-10-07 02:02:28,Spooky
2018-10-10 16:41:15,sarcasm detect i do
2018-10-12 23:32:24,Me too!
2018-10-13 03:19:22,heavens
2018-10-30 15:44:36,goon squad*
2018-10-31 01:58:08,Cringe
2018-11-04 00:38:05,"Weird flex, but ok"
2018-11-04 00:38:53,Fighting is wrong
2018-11-09 23:28:16,oswoat
