date,comment
2017-06-13 15:59:59,Thanks Tim
2017-06-16 02:00:00,Wish I'd realized you'd hopped off to piss.  I was looking around a few minutes up the climb 
2017-06-21 01:47:46,"Thanks, good job yourself "
2017-06-21 02:11:20,"I took it off for the race because you reminded me of it, otherwise I probably wouldn't have thought to.  It will be back "
2017-06-21 03:22:04,"I won't make it this week, but don't count it out for the future "
2017-06-22 03:28:52,Oh no worries Im much too slow at fixing flats to merit waiting for
2017-06-28 00:59:12,Decreasing.  Hail narrowly reigns supreme
2017-06-28 01:01:07,"Thanks, you as well, very selfless out there "
2017-06-28 02:41:55,22:28? Woof! 
2017-07-06 02:01:18,"Thanks Tim, nice race to you "
2017-07-07 10:25:42,"Likewise Alex, you snuck by me there late right? "
2017-07-07 12:14:20,Krush 
2017-07-09 16:20:18,"Correct, size and quality of field was less then Montague it seemed "
2017-07-13 01:45:53,You weren't hurt were you?
2017-07-13 02:24:13,"Haha don't apologize, you got yourself to look after, I was doing the same when I was in front "
2017-07-14 13:28:29,Mowgli run is 3x week 
2017-07-14 13:29:51,Milkman is strong and fast? 
2017-07-14 13:34:19,Go Milkman
2017-07-15 13:17:15,Nice 4:40 milkmile
2017-07-15 16:03:53,This take you have on the internet is incorrect 
2017-07-15 16:19:29,It's the first time in 86 years that we have a close top 5
2017-07-15 16:28:19,It is too bad about porte though
2017-07-19 00:51:43,"Thanks Jonathan, sorry to hear about the flat tire "
2017-07-20 02:03:49,Sure did! Had to rush off and do it before it got too dark though 
2017-07-20 02:06:17,"Thanks, that will be fun "
2017-07-21 16:28:27,Impressive 
2017-07-22 23:20:18,Thanks for putting it together! Great route
2017-08-02 17:53:47,Iron horse exCELSIOR
2017-08-04 00:57:31,"The pedals I've got I think are still all good, it's the crank threads that are stripped"
2017-08-05 15:33:02,When I get back to school if everything goes smoothly
2017-08-07 16:48:30,I can't run enough yet for that to be true 
2017-08-07 16:48:53,Biking a lot > running a little
2017-08-07 16:49:53,Milkman win?
2017-08-07 16:51:01,For what 
2017-08-07 17:01:48,Oh my bike is alright I'm in the middle of nowhere working at camp in VT right now
2017-08-07 17:05:40,Getting a new one :) 
2017-08-09 11:42:39,"""Suck it easy"" works in any and all situations"
2017-08-09 11:42:48,Exceptionally versatile
2017-08-09 13:11:24,I found a link on the results page from bikereg I think
2017-08-19 15:21:01,It can't be worse than the EPO though right guys
2017-08-23 00:54:13,"Thanks, just due diligence in case I'm ever sued."
2017-09-21 19:38:12,Gasp!
2017-09-23 19:13:43,It's a nice course.  Racers were collapsing everywhere in the heat today
2017-09-23 19:32:49,"No we just drove over to watch, we've got races this week and last "
2017-09-23 19:39:27,"Thanks, same to you"
2017-09-27 12:16:02,Only good ride is up to Minneapolis 
2017-10-01 19:44:00,Great job!
2017-11-17 14:07:54,"Not sub-4:40, not worth it"
2017-11-17 14:17:07,You know as well as I that I didn't go to class 
2017-11-21 04:46:33,Little bit
2017-11-24 02:12:16,Well what came in between 
2017-11-24 02:19:37,Lol fair
2017-11-26 22:32:09,*Assault on Lando's Mom
2017-12-01 12:49:10,I got it on just about the least painful spot
2017-12-01 13:23:29,"The team,  but I suppose it luckily works for me too "
2017-12-01 15:32:20,First race in one week (2k) and then I go to Rome for one month so I won't race again until February.  Hoping to be able to rent a bike while I'm out there 
2018-02-03 00:49:11,It's a lucrative pursuit 
2018-02-28 02:18:05,<3 
2018-03-14 01:11:01,Kudos!
2018-03-22 17:24:57,Wait just a gosh darn minute
2018-03-23 01:40:13,I meant surprised pace was even that fast given the low HR.  Wasn't expecting sub-8s
2018-03-23 01:41:30,Paper.io
2018-03-23 01:42:07,Phat dipper 
2018-03-31 00:57:11,"Now, Sleep!"
2018-03-31 21:24:31,Super fun and gorgeous. Unfortunately the only day I get to bike on break before returning 
2018-03-31 21:44:57,Yeah me too!  Pumped for the summer 
