date,comment
2017-03-28 02:15:53,Good quality run at the quality inn
2017-06-04 12:49:46,"I think your keyboard isn't typing properly, your last few runs haven't been real words.  "
2017-07-13 01:40:20,There are worse things than drowning in humus
2017-07-16 16:45:55,"Excellent work, don't forget those eccentric excercises!"
2017-07-16 16:46:38,"Excellent work, don't forget those eccentric exercises!"
2017-07-16 16:47:15,I would not recommend cutting those breaks.  Don't forget those eccentric exercises!
2017-07-16 16:50:07,"Excellent work, don't forget those eccentric exercises!"
2017-07-19 17:23:30,Hopefully some eccentrics as well!
2017-09-07 03:07:32,These aren't the big woods anymore liam
2018-02-28 17:49:31,grind
2018-03-04 03:53:49,:)
2018-03-21 00:45:17,If you turn it sideways it looks like half a head of hair
2018-03-28 18:24:01,That’s pretty far!
2018-04-18 15:18:07,London! So cool!
2018-04-30 15:30:30,"You stole my secret course record!
"
2018-05-28 15:53:24,Woof 
2018-05-30 22:56:42,d@nk
2018-06-01 00:06:50,That’s a lot or medals
2018-06-01 00:07:41,Saved 25 bucks
2018-06-02 12:31:27,Guatemala? Barely know-a
2018-06-10 16:42:07,Clean thoughts!
2018-06-14 01:51:00,Internship at luminex in the quality control department
2018-06-17 16:44:14,Woof
2018-06-28 17:54:05,Hb 
2018-07-01 15:07:06,"Antigua, barely know-a!"
2018-07-02 01:04:44,Woof roomie!
2018-07-05 13:33:01,My powers have doubled since the last time we met
2018-07-09 17:38:10,Drove head first into a tree branch while mowing
2018-07-13 17:45:57,NNAANNII?!?!
2018-07-18 14:49:10,Mysterious
2018-07-20 17:35:47,Rounding up it’s 13
2018-08-18 15:13:52,EPIC!!!
2018-08-22 13:36:39,14-16 inches. It took out roads and submerged abandoned cars
2018-08-24 03:23:49,Glug glug
2018-08-28 01:38:35,DUM chaf 
2018-08-30 21:28:15,Dank
2018-09-13 01:48:38,🐍☠️
2018-09-13 01:48:51,🐍☠️
2018-09-13 01:51:07,Was the mile 2:40 or 5:19?
2018-09-13 03:29:35,That’s good
2018-09-16 04:56:05,Good work!
2018-09-21 13:16:47,5 laps on the indoor track
2018-10-07 15:46:34,👍
2018-10-07 21:28:17,Oof
