date,comment
2017-05-29 20:01:14,Didn't know that you have one of these lol Hahahaha 
2017-05-29 20:03:33,Yeah I should use it more. And run more haha 
2017-05-31 02:17:07,I can make then them a normal occurrence haha 
2017-05-31 02:18:05,Are you staying in Boulder this summer? 
2017-05-31 02:20:21,Dang I can't run with you then. RIP
2017-06-05 04:54:53,I like your mindset. 
2017-06-06 01:37:22,Nope. I do the distance on google maps. I have a garmin in the mail though 
2017-06-06 01:37:30,He has one though 
2017-06-06 01:50:09,"Yeah true haha. His doesn't upload automatically, but he can do it manually "
2017-06-06 14:51:11,you may want to upload a time lel
2017-06-06 18:42:31,Probably stop playing FIFA and upload the gps 
2017-06-06 18:49:52,Tits 
2017-06-08 16:35:36,"Texas and Washington look strange as well, but hawt damn "
2017-06-09 01:31:28,^ political commentary on the state of our nation 
2017-06-12 02:42:19,Lol same 
2017-06-12 02:43:32,Max elevation of 666 ;) 
2017-06-12 05:35:40,K be there in a sec 
2017-06-17 22:07:52,You know it! 
2017-06-22 00:38:04,Spending lots of time in Target lately? 
2017-06-22 04:29:41,Lol
2017-07-05 01:08:57,Not as easy as my day 
2017-07-09 21:17:06,I'd have to be running to have runs to post ;) 
2017-07-09 21:18:35,"My leg is fucking with me again, and I'm waiting for a part for my bike from the mail. "
2017-07-09 21:18:46,I'll be back on strava p soon 
2017-07-16 16:58:11,Ty plumb 
2017-08-09 22:49:51,Tang 
2017-08-09 22:50:41,And better healthcare 
2017-08-13 18:21:37,I changed it to a comma  Justin Furcich 
2017-08-13 18:27:33,Gotcha 
2017-08-15 15:25:07,It was good to catch up with you guys as well!! I'm looking forward to your visit!! 
2017-08-22 04:17:12,Ayyyyee yo 
2017-08-22 04:23:20,Mmm 
2017-09-07 14:57:12,Same 
2017-09-07 15:06:36,Good point 
2017-09-19 23:40:40,You know it 
2017-10-31 13:17:34,Thanks man! 
2017-10-31 13:18:44,*watch died a day ago 
2017-10-31 16:41:39,Tru
2017-12-04 16:18:27,Fuck me. 
2017-12-11 18:51:49,"Good men, the last wave by, crying how bright 
Their frail deeds might have danced in a green bay, "
2018-01-05 15:06:01,Go Braves! 
2018-01-06 00:22:11,I’m almost sterile from biking in running shorts so often ...
2018-03-05 06:18:28,On site race for the segment it is bro 
2018-03-17 17:27:23,Hahah ty 
2018-04-05 16:13:36,A “real easy” 3:45 hahahahahahahah
2018-04-10 13:26:10,Yeah I threw up haha 
2018-04-17 06:13:30,Hahaha 
2018-04-23 16:47:27,Nice pace! ;) 
2018-04-29 18:27:00,Vigilante justice never results in unwarranted aggression!!  
2018-05-30 16:16:45,Usually night vision goggles 
2018-06-04 14:57:55,I ordered some brooks ghost 10s. I’ve been running with them for the past two pairs and have felt great. What did you order? 
2018-06-04 19:11:12,Cool cool 
2018-06-11 16:45:49,Far from good haha 
2018-07-07 00:23:32,I've been biting my nails in anticipation
2018-07-22 15:32:01,"Ty! Yeah mile 2 I was thinking ""should I race it?"", but I decided not to"
2018-07-22 20:07:58,Naw it was behind me. I haven't seen it in person Justin Furcich Nick Dea 
2018-08-03 02:22:21,Don't run too fast in the smoke. Wouldn't want to go to the ER with blood clots in your lungs :)
2018-08-18 15:17:30,Trying to decide what sauce is doing in the background...
2018-08-18 17:00:33,Hmmmmmm........
2018-08-18 18:14:29,Here I am!
2018-08-20 16:21:40,Yum
2018-09-29 00:51:07,SKOL
2018-09-30 18:17:58,Hokas
2018-09-30 18:18:19,what the
2018-09-30 20:15:24,Hehehe 
2018-10-07 23:05:56,You betcha! 
2018-10-07 23:12:35,All signs check out 
